varID,var5_6a,var5_6,var5_7,var5_8,var5_9,var5_10,var5_10a,var5_11,var5_12,var5_13,var5_14,var5_15,var5_16,var5_17,var5_18,var5_19,var5_20,var5_21
3704010204,a21,3.6,3.6,3,3.6,1,,2,500,否,0,1800,是,10,3.6,否,.,.
3704010205,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010206,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010207,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010208,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010209,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010210,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010211,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010212,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010101,a1,3.2,3.2,1,3.2,1,,0.3,500,否,0,1600,是,3,3.2,否,.,.
3704010101,a22,3.2,3.2,1,3.2,1,,0.3,550,否,0,1760,否,,.,否,.,.
3704010102,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010103,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010104,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010105,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010106,a1,3.69,3.69,1,3.69,2,,0.5,450,否,0,1660.5,否,,.,,.,.
3704010106,a21,3.69,3.69,1,3.69,2,,0.5,450,否,0,1660.5,否,,.,,.,.
3704010107,a1,2,2,1,2,3,,3,400,否,0,800,否,,.,,.,.
3704010107,a21,2,2,1,2,3,,3,300,否,0,600,否,,.,,.,.
